"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861010621955023314","Mon Nov 25 11:34:42 +0000 2024","19","Halo ITB!!!! kira kira punya uang 8 ribu klean bisa pake buat apaa??? Kalo akuuu sih mending dipake buat pulang pergi kampuss broowww!!! Pake GrabBike Hemat ajaaa nihhh mulai 8 ribuan ajaa tanpa kode promooo!!!! Buktinyaa jelasss tinggal langsung cek aja di https://t.co/EjEDVTiQlG","1861010621955023314","https://pbs.twimg.com/media/GdOjRIubUAAZjxt.jpg","","in","Ganesha, Jatinangor, Cirebon","1","3","0","https://x.com/DraftAnakITB/status/1861010621955023314","1804409229442453505","DraftAnakITB"
"1861006603425648975","Mon Nov 25 11:18:44 +0000 2024","12","bucin! kia sbm cakep bgt woi","1861006603425648975","","","in","Ganesha, Jatinangor, Cirebon","1","8","0","https://x.com/DraftAnakITB/status/1861006603425648975","1804409229442453505","DraftAnakITB"
"1861006118429786401","Mon Nov 25 11:16:49 +0000 2024","2","itb! Kakak cantik vokalis orkestra kmrn yg di kanan panggung bolehkah jiwa yang terpesona ini meminta ig nya?","1861006118429786401","","","in","Ganesha, Jatinangor, Cirebon","1","0","0","https://x.com/DraftAnakITB/status/1861006118429786401","1804409229442453505","DraftAnakITB"
"1861003962712809745","Mon Nov 25 11:08:15 +0000 2024","2","maba! 16724182 udah punya cowok blum?","1861003962712809745","","","in","Ganesha, Jatinangor, Cirebon","0","2","0","https://x.com/DraftAnakITB/status/1861003962712809745","1804409229442453505","DraftAnakITB"
"1861001436600877329","Mon Nov 25 10:58:12 +0000 2024","6","itb! halo teman-teman ada yang punya saran rekening bank yang cocok buat tabungan mahasiswa ga? terima kasih sebelumnya.","1861001436600877329","","","in","Ganesha, Jatinangor, Cirebon","0","6","0","https://x.com/DraftAnakITB/status/1861001436600877329","1804409229442453505","DraftAnakITB"
"1860996166466273595","Mon Nov 25 10:37:16 +0000 2024","28","itb! Untuk dapet ipk 3 itu indeks keseluruh mafiki pengkom harus B kah?","1860996166466273595","","","in","Ganesha, Jatinangor, Cirebon","4","3","1","https://x.com/DraftAnakITB/status/1860996166466273595","1804409229442453505","DraftAnakITB"
"1860991688103047326","Mon Nov 25 10:19:28 +0000 2024","29","itb! Punya temen yang sering bilang orang miskin dan jelek itu toxic gak sih?","1860991688103047326","","","in","Ganesha, Jatinangor, Cirebon","7","6","0","https://x.com/DraftAnakITB/status/1860991688103047326","1804409229442453505","DraftAnakITB"
"1860990738877624461","Mon Nov 25 10:15:42 +0000 2024","1","bucin! 16124028 udhh punya cwok belum ya ","1860990738877624461","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1860990738877624461","1804409229442453505","DraftAnakITB"
"1860990071408660567","Mon Nov 25 10:13:03 +0000 2024","1","bucin! 19624176 udh punya cewe ya?","1860990071408660567","","","in","Ganesha, Jatinangor, Cirebon","0","3","0","https://x.com/DraftAnakITB/status/1860990071408660567","1804409229442453505","DraftAnakITB"
"1860756822476366159","Sun Nov 24 18:46:12 +0000 2024","6","Halo itb! Bagi kamu yang di ITB Ganesha bisa cobain nih. Mango Sticky Rice yang ada di kantin ITB. Ada setiap Senin-Jumat di kantin Saraga SBM dan GKUT 2. Semoga suka https://t.co/qdauhWEWvN","1860756822476366159","https://pbs.twimg.com/media/GdK8d_qWAAA9zBd.jpg","","in","Ganesha, Jatinangor, Cirebon","0","5","0","https://x.com/DraftAnakITB/status/1860756822476366159","1804409229442453505","DraftAnakITB"
"1860696773645193540","Sun Nov 24 14:47:35 +0000 2024","8","maba! kukira hebat ternyata ayam","1860696773645193540","","","in","Ganesha, Jatinangor, Cirebon","2","1","1","https://x.com/DraftAnakITB/status/1860696773645193540","1804409229442453505","DraftAnakITB"
"1860683414686310793","Sun Nov 24 13:54:30 +0000 2024","60","bucin! Makasih atas jawabannya. Makasih udah mengingatkan untuk fokus pada akademik dan cita-cita. See you again at our best version!","1860683414686310793","","","in","Ganesha, Jatinangor, Cirebon","2","0","7","https://x.com/DraftAnakITB/status/1860683414686310793","1804409229442453505","DraftAnakITB"
"1860680008726950227","Sun Nov 24 13:40:58 +0000 2024","58","itb! nilai UTS 45 masih bisa lulus matkul nya ga ya huhu","1860680008726950227","","","in","Ganesha, Jatinangor, Cirebon","15","28","4","https://x.com/DraftAnakITB/status/1860680008726950227","1804409229442453505","DraftAnakITB"
"1860679428713447771","Sun Nov 24 13:38:40 +0000 2024","16","ada kah ukm itb! yang oprec tahun depan? kalau ada tolong spill pls","1860679428713447771","","","in","Ganesha, Jatinangor, Cirebon","0","5","1","https://x.com/DraftAnakITB/status/1860679428713447771","1804409229442453505","DraftAnakITB"
"1860675661708304685","Sun Nov 24 13:23:42 +0000 2024","7","maba! Grade nilai bakal disesuaiin nilai tiap fakul atau udh fix ya (misal 80 baru A)","1860675661708304685","","","in","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1860675661708304685","1804409229442453505","DraftAnakITB"
"1860668356539322763","Sun Nov 24 12:54:40 +0000 2024","6","itb! wah ada apa ini??","1860668356539322763","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1860668356539322763","1804409229442453505","DraftAnakITB"
"1860666481928753442","Sun Nov 24 12:47:13 +0000 2024","22","bucin! gue udh naksir berat sama kating ±5 bln tapi no interaction...","1860666481928753442","","","in","Ganesha, Jatinangor, Cirebon","7","3","1","https://x.com/DraftAnakITB/status/1860666481928753442","1804409229442453505","DraftAnakITB"
"1860656832080908402","Sun Nov 24 12:08:52 +0000 2024","39","itb! nilai uts kepala 4 masih bisa dapat indeks A gak?:(","1860656832080908402","","","in","Ganesha, Jatinangor, Cirebon","5","7","0","https://x.com/DraftAnakITB/status/1860656832080908402","1804409229442453505","DraftAnakITB"
"1860332661098565733","Sat Nov 23 14:40:44 +0000 2024","5","maba! geer egeeee GUBRAKKK","1860332661098565733","","","tl","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1860332661098565733","1804409229442453505","DraftAnakITB"
"1860328754146386082","Sat Nov 23 14:25:12 +0000 2024","3","bucin! 16724182 semangat ya sekolahnya!","1860328754146386082","","","in","Ganesha, Jatinangor, Cirebon","1","6","1","https://x.com/DraftAnakITB/status/1860328754146386082","1804409229442453505","DraftAnakITB"
"1860326115606163793","Sat Nov 23 14:14:43 +0000 2024","126","itb! kacau next sekiranya ga akan ter-handle semua harusnya dari awal vendor jersey diserahin ke masing2 f/s aja ... sedih bgtt","1860326115606163793","","","in","Ganesha, Jatinangor, Cirebon","12","3","3","https://x.com/DraftAnakITB/status/1860326115606163793","1804409229442453505","DraftAnakITB"
"1860325802107080805","Sat Nov 23 14:13:29 +0000 2024","138","itb! plis kalaw nilai kalian dapet 90++ gitu kalau sedih boleh aja tapi jangan diumbar gitu kesedihannya di publik jujur masih banyak yang di bawah kalian di bawah banget malahan kaya ga kasian kah sedih boleh aja tapi jangan diumbar gitu apalagi dengan nilai yang jauh di atas","1860325802107080805","","","in","Ganesha, Jatinangor, Cirebon","11","4","13","https://x.com/DraftAnakITB/status/1860325802107080805","1804409229442453505","DraftAnakITB"
"1860324979641905154","Sat Nov 23 14:10:12 +0000 2024","28","itb! Pas sesi 2 yang ngumpul di gku1 lantai 3 deket ruangan ujian punya otak gk sihhh???? Itu org lagi uts loh pengawas nya udah peringantin untuk diam kalian masih aja ribut ketawa2 ba*gstt","1860324979641905154","","","in","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1860324979641905154","1804409229442453505","DraftAnakITB"
"1860322668576182430","Sat Nov 23 14:01:01 +0000 2024","0","Ye kali ga beli itb! https://t.co/EhojEMmHZC","1860322668576182430","https://pbs.twimg.com/media/GdExm0zXQAA9L40.jpg","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1860322668576182430","1804409229442453505","DraftAnakITB"
"1860321702753845690","Sat Nov 23 13:57:11 +0000 2024","49","itb! Adakah yang mau spill ada apa sama panitia TPB CUP? Sender ketinggalan info","1860321702753845690","","","in","Ganesha, Jatinangor, Cirebon","2","0","0","https://x.com/DraftAnakITB/status/1860321702753845690","1804409229442453505","DraftAnakITB"
"1860318298979635434","Sat Nov 23 13:43:40 +0000 2024","11","itb! woi kalo emang batu mah batu aja nga usah berlagaknya kaga kocak","1860318298979635434","","","in","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1860318298979635434","1804409229442453505","DraftAnakITB"
"1860316835003904493","Sat Nov 23 13:37:51 +0000 2024","52","misuh! panit oh panit wkwkwk lawak!","1860316835003904493","","","in","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1860316835003904493","1804409229442453505","DraftAnakITB"
"1860313293501419614","Sat Nov 23 13:23:46 +0000 2024","133","itb! tpbcup kali ini paling jelek yah? main undur mana h-1 wkwkw. Ketawain ajasih GA PROFESIONAL!","1860313293501419614","","","in","Ganesha, Jatinangor, Cirebon","8","3","6","https://x.com/DraftAnakITB/status/1860313293501419614","1804409229442453505","DraftAnakITB"
"1860306178003132556","Sat Nov 23 12:55:30 +0000 2024","92","misuh! belajar lagi ya jadi panitia","1860306178003132556","","","in","Ganesha, Jatinangor, Cirebon","1","0","6","https://x.com/DraftAnakITB/status/1860306178003132556","1804409229442453505","DraftAnakITB"
"1860305527873343770","Sat Nov 23 12:52:55 +0000 2024","6","itb!","1860305527873343770","","","qst","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1860305527873343770","1804409229442453505","DraftAnakITB"
"1860300974188831111","Sat Nov 23 12:34:49 +0000 2024","156","itb! panitia tpb cup bener-bener ga tersusun banget evaluasi!","1860300974188831111","","","in","Ganesha, Jatinangor, Cirebon","12","4","13","https://x.com/DraftAnakITB/status/1860300974188831111","1804409229442453505","DraftAnakITB"
"1860300135781065193","Sat Nov 23 12:31:29 +0000 2024","156","misuh! panit tpbcup24 skolahnya remed ya?","1860300135781065193","","","in","Ganesha, Jatinangor, Cirebon","16","6","11","https://x.com/DraftAnakITB/status/1860300135781065193","1804409229442453505","DraftAnakITB"
"1860297974640705874","Sat Nov 23 12:22:54 +0000 2024","4","itb! Halo gais jika berkenan sender mintol buat isi kuisioner ini : https://t.co/jHvdQwQ2c2 https://t.co/HHcbPaB3jP","1860297974640705874","https://pbs.twimg.com/media/GdEbJeHXcAEWbbv.jpg","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1860297974640705874","1804409229442453505","DraftAnakITB"
